project_id,sample_id,sample_concentration,well_pos
1735-1837,1735-FL-1837-01-01,103.6407078,A01
1735-1837,1735-FL-1837-01-02,69.45876864,B01
1735-1837,1735-FL-1837-01-03,99.79523968,C01
1735-1837,1735-FL-1837-01-04,180.550071,D01
1735-1837,1735-FL-1837-01-05,113.6015386,E01
1735-1837,1735-FL-1837-01-06,148.6647309,F01
1735-1837,1735-FL-1837-01-07,153.0442918,G01
1735-1837,1735-FL-1837-01-08,220.1797568,H01
1735-1837,1735-FL-1837-01-09,153.7653171,A02
1735-1837,1735-FL-1837-01-10,80.88835456,B02
1735-1837,1735-FL-1837-01-11,92.31794048,C02
1735-1837,1735-FL-1837-01-12,111.1714163,D02
1735-1837,1735-FL-1837-01-13,213.9041664,E02
1735-1837,1735-FL-1837-01-14,157.0766925,F02
1735-1837,1735-FL-1837-01-15,238.9531187,G02
1735-1837,1735-FL-1837-01-16,123.5623693,H02
1735-1837,1735-FL-1837-01-17,193.2881843,A03
1735-1837,1735-FL-1837-01-18,111.2515302,B03
1735-1837,1735-FL-1837-01-19,271.2657331,C03
1735-1837,1735-FL-1837-01-20,168.532983,D03
1735-1837,1735-FL-1837-01-21,176.5176704,E03
1735-1837,1735-FL-1837-01-22,295.2464998,F03
1735-1837,1735-FL-1837-01-23,269.5566362,G03
1735-1837,1735-FL-1837-01-24,175.3426662,H03
1735-1837,1735-FL-1837-01-25,184.7159949,A04
1735-1837,1735-FL-1837-01-26,66.44114432,B04
1735-1837,1735-FL-1837-01-27,131.7339891,C04
1735-1837,1735-FL-1837-01-28,182.2858726,D04
1735-1837,1735-FL-1837-01-29,350.7387418,E04
1735-1837,1735-FL-1837-01-30,264.5628685,F04
1735-1837,1735-FL-1837-01-31,270.9719821,G04
1735-1837,1735-FL-1837-01-32,177.5591514,H04
1735-1837,1735-FL-1837-01-33,220.5803264,A05
1735-1837,1735-FL-1837-01-34,164.4471731,B05
1735-1837,1735-FL-1837-01-35,130.558985,C05
1735-1837,1735-FL-1837-01-36,193.8756864,D05
1735-1837,1735-FL-1837-01-37,209.8450611,E05
1735-1837,1735-FL-1837-01-38,173.2597043,F05
1735-1837,1735-FL-1837-01-39,120.2776986,G05
1735-1837,1735-FL-1837-01-40,76.88265856,H05
1735-1837,1735-FL-1837-01-41,173.0460672,A06
1735-1837,1735-FL-1837-01-42,141.5612966,B06
1735-1837,1735-FL-1837-01-43,343.9023539,C06
1735-1837,1735-FL-1837-01-44,160.2545446,D06
1735-1837,1735-FL-1837-01-45,203.1689011,E06
1735-1837,1735-FL-1837-01-46,62.73790995,F06
1735-1837,1735-FL-1837-01-47,147.1425664,G06
1735-1837,1735-FL-1837-01-48,35.14330624,H06
1735-1837,1735-FL-1837-01-49,46.51948288,A07
1735-1837,1735-FL-1837-01-50,86.20257792,B07
1735-1837,1735-FL-1837-01-51,209.0172173,C07
1735-1837,1735-FL-1837-01-52,183.0336026,D07
1735-1837,1735-FL-1837-01-53,104.0145728,E07
1735-1837,1735-FL-1837-01-54,226.8025075,F07
1735-1837,1735-FL-1837-01-55,123.802711,G07
1735-1837,1735-FL-1837-01-56,98.19296128,H07
1735-1837,1735-FL-1837-01-57,138.0362842,A08
1735-1837,1735-FL-1837-01-58,43.68879104,B08
1735-1837,1735-FL-1837-01-59,114.0555174,C08
1735-1837,1735-FL-1837-01-60,1.25511808,D08
1735-1837,1735-FL-1837-01-61,61.31385344,E08
1735-1837,1735-FL-1837-01-62,71.7019584,F08
1735-1837,1735-FL-1837-01-63,97.2048896,G08
1735-1837,1735-FL-1837-01-64,87.1906496,H08
1735-1837,1735-FL-1837-01-65,106.7651507,A09
1735-1837,1735-FL-1837-01-66,134.2442253,B09
1735-1837,1735-FL-1837-01-67,208.1893734,C09
1735-1837,1735-FL-1837-01-68,177.2386957,D09
1735-1837,1735-FL-1837-01-69,199.910935,E09
1735-1837,1735-FL-1837-01-70,5.76820224,F09
1735-1837,1735-FL-1837-01-71,157.9579456,G09
1735-1837,1735-FL-1837-01-72,379.6331622,H09
1735-1837,1735-FL-1837-01-73,399.9553933,A10
1735-1837,1735-FL-1837-01-75,44.38311168,C10
1735-1837,1735-FL-1837-01-76,73.41105536,D10
1735-1837,1735-FL-1837-01-77,46.67971072,E10
1735-1837,1735-FL-1837-01-78,51.64677376,F10
1735-1837,1735-FL-1837-01-79,147.8902963,G10
1735-1837,1735-FL-1837-01-80,65.5598912,H10
1735-1837,1735-FL-1837-01-81,160.4681818,A11
1735-1837,1735-FL-1837-01-82,136.5942336,B11
1735-1837,1735-FL-1837-01-83,94.4009024,C11
1735-1837,1735-FL-1837-01-84,120.5180403,D11
1735-1837,1735-FL-1837-01-85,83.10483968,E11
1735-1837,1735-FL-1837-01-86,99.23444224,F11
1735-1837,1735-FL-1837-01-87,80.2474432,G11
1735-1837,1735-FL-1837-01-88,70.2332032,H11
1735-1837,1735-FL-1837-01-89,39.46608197,A12
1735-1837,1735-FL-1837-01-90,91.65032448,B12
1735-1837,1735-FL-1837-01-91,113.6816525,C12
1735-1837,1735-FL-1837-01-92,121.2390656,D12
1735-1837,1735-FL-1837-01-93,169.4142362,E12
1735-1837,1735-FL-1837-01-94,73.49116928,F12
1735-1837,1735-FL-1837-01-74_Cleanup,27.81896114,G12
